Date,Local,Visitor,Round,Result,Goals_Local,Goals_Visitor,Goals_Difference
2022-11-20,Qatar,Ecuador,M1,Ecuador,3,1,
2022-11-21,England,Iran,M1,Iran,4,2,
2022-11-21,Senegal,Netherlands,M1,Netherlands,5,3,
2022-11-21,USA,Wales,M1,Wales,6,4,
2022-11-22,Argentina,Saudi Arabia,M1,Saudi Arabia,7,5,
2022-11-22,Denmark,Tunisia,M1,Tunisia,8,6,
2022-11-22,Mexico,Poland,M1,Poland,9,7,
2022-11-22,France,Australia,M1,Australia,10,8,
2022-11-23,Morocco,Croatia,M1,Croatia,11,9,
2022-11-23,Germany,Japan,M1,Japan,12,10,
2022-11-23,Spain,Costa Rica,M1,Costa Rica,13,11,
2022-11-23,Belgium,Canada,M1,Canada,14,12,
2022-11-24,Switzerland,Cameroon,M1,Cameroon,15,13,
2022-11-24,Uruguay,Korea,M1,Korea,16,14,
2022-11-24,Portugal,Ghana,M1,Ghana,17,15,
2022-11-24,Brazil,Serbia,M1,,,,
2022-11-25,Wales,Iran,M2,,,,
2022-11-25,Qatar,Senegal,M2,,,,
2022-11-25,Netherlands,Ecuador,M2,,,,
2022-11-25,England,USA,M2,,,,
2022-11-26,Tunisia,Australia,M2,,,,
2022-11-26,Poland,Saudi Arabia,M2,,,,
2022-11-26,France,Denmark,M2,,,,
2022-11-26,Argentina,Mexico,M2,,,,
2022-11-27,Japan,Costa Rica,M2,,,,
2022-11-27,Belgium,Morocco,M2,,,,
2022-11-27,Croatia,Canada,M2,,,,
2022-11-27,Spain,Germany,M2,,,,
2022-11-28,Cameroon,Serbia,M2,,,,
2022-11-28,Korea,Ghana,M2,,,,
2022-11-28,Brazil,Switzerland,M2,,,,
2022-11-28,Portugal,Uruguay,M2,,,,
2022-11-29,Ecuador,Senegal,M3,,,,
2022-11-29,Netherlands,Qatar,M3,,,,
2022-11-29,Iran,USA,M3,,,,
2022-11-29,Wales,England,M3,,,,
2022-11-30,Tunisia,France,M3,,,,
2022-11-30,Australia,Denmark,M3,,,,
2022-11-30,Poland,Argentina,M3,,,,
2022-11-30,Saudi Arabia,Mexico,M3,,,,
2022-12-01,Croatia,Belgium,M3,,,,
2022-12-01,Canada,Morocco,M3,,,,
2022-12-01,Japan,Spain,M3,,,,
2022-12-01,Costa Rica,Germany,M3,,,,
2022-12-02,Korea,Portugal,M3,,,,
2022-12-02,Ghana,Uruguay,M3,,,,
2022-12-02,Serbia,Switzerland,M3,,,,
2022-12-02,Cameroon,Brazil,M3,,,,
